id,host_is_superhost,neighbourhood_group_cleansed,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,reviews_per_month
43148901,f,Brooklyn,2,0.0,1.0,1.0,85,30,13,43,73,348,2,5.0,0.13
43149336,f,Brooklyn,2,0.0,1.0,1.0,75,30,10,40,70,160,3,4.67,0.2
43150235,f,Brooklyn,2,0.0,1.0,0.0,120,30,29,59,89,179,0,0.0,0.0
43150520,f,Queens,2,0.0,1.0,2.0,114,2,25,55,85,175,21,4.14,4.88
43150602,f,Queens,5,0.0,2.0,3.0,150,30,0,0,0,0,2,3.0,0.18
43152182,t,Brooklyn,3,0.0,1.0,1.0,88,30,25,25,36,216,2,5.0,0.16
43157624,f,Manhattan,6,0.0,2.0,3.0,599,2,0,0,0,0,1,4.0,0.08
43158150,f,Manhattan,4,0.0,2.0,2.0,500,30,30,60,90,365,1,5.0,0.06
43161885,f,Queens,2,0.0,1.0,2.0,156,1,1,1,1,58,63,4.68,4.17
43163067,f,Manhattan,6,0.0,4.0,5.0,250,30,0,0,0,0,0,0.0,0.0
43163079,f,Manhattan,4,0.0,1.0,2.0,129,30,5,17,47,229,2,5.0,0.13
43163186,t,Manhattan,2,0.0,1.0,0.0,160,30,1,2,32,244,7,4.86,0.49
43164910,f,Manhattan,2,0.0,0.0,1.0,93,30,0,0,0,0,0,0.0,0.0
43170046,t,Brooklyn,4,0.0,3.0,3.0,180,3,11,41,71,346,18,4.78,7.5
43170306,f,Brooklyn,16,0.0,3.0,3.0,1143,1,30,60,90,180,79,4.73,6.66
43173066,f,Manhattan,1,0.0,1.0,0.0,280,30,29,59,89,89,1,5.0,0.06
43174785,f,Brooklyn,1,0.0,1.0,1.0,49,30,19,25,55,330,1,5.0,0.07
43174844,f,Brooklyn,1,0.0,1.0,1.0,49,30,0,0,16,291,0,0.0,0.0
43176850,f,Brooklyn,2,0.0,1.0,1.0,72,30,0,0,0,0,0,0.0,0.0
43177809,f,Manhattan,2,0.0,1.0,0.0,199,30,30,60,90,365,0,0.0,0.0
43178622,f,Brooklyn,6,0.0,2.0,2.0,232,30,29,59,89,269,0,0.0,0.0
43179761,f,Bronx,2,0.0,0.0,1.0,38,30,1,31,61,336,2,5.0,1.2
43183034,f,Manhattan,1,0.0,1.0,1.0,190,1,16,46,76,351,2,5.0,0.15
43185808,f,Staten Island,2,0.0,1.0,2.0,70,3,14,14,16,291,3,4.33,0.24
43189098,f,Brooklyn,4,0.0,1.0,2.0,100,30,0,0,0,0,0,0.0,0.0
43197566,f,Staten Island,5,0.0,2.0,3.0,135,3,27,57,87,362,6,4.5,1.58
43197778,t,Manhattan,2,0.0,1.0,1.0,175,2,3,11,21,86,21,4.57,9.84
43199019,t,Queens,4,0.0,2.0,2.0,199,30,7,10,40,220,5,5.0,0.3
43203702,f,Manhattan,7,0.0,3.0,5.0,1495,14,0,0,0,258,1,5.0,0.65
43204806,f,Queens,1,0.0,1.0,2.0,35,1,22,52,82,357,3,4.67,0.76
43205598,f,Manhattan,0,0.0,0.0,0.0,0,1,0,0,0,0,9,4.11,0.83
43207089,f,Queens,2,0.0,0.0,1.0,75,3,1,31,61,151,17,4.59,1.9
